name	aliases	previous_class	disposition	reason	consumer_evidence
ai.status	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/ai_registry_probe.txt:15;Tools/regression/ai_registry_probe.txt:20;Tools/regression/ai_registry_probe.txt:24
animator.exit	-	engine_service	remove	unused state simulation harness bypassed normal transitions; no active consumer	no literal consumer found
animator.param	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	no literal consumer found
animator.scene.probe	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-animator-scene-single-truth.ps1:36
animator.state	-	engine_service	remove	unused state simulation harness bypassed normal transitions; no active consumer	no literal consumer found
animator.status	-	engine_service	api	Shared product diagnostic	verify-editor-command-surface.ps1; EditorDiagnostics.cpp
asset.guid.rename.probe	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-guid-rename.ps1:18
assets.generation	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-asset-generation.ps1:101;Tools/regression/verify-model-asset-generation.ps1:102;Tools/regression/verify-model-asset-generation.ps1:140;Tools/regression/verify-model-asset-generation.ps1:141;Tools/regression/verify-model-render-wiring.ps1:26;Tools/regression/verify-model-render-wiring.ps1:69
assets.generationcorpus	-	engine_service	commandlet	Canonical Gunner and SU corpus closure with independent fixed counts; intentionally corpus-specific	Tools/regression/verify-model-asset-generation.ps1:102;Tools/regression/verify-model-asset-generation.ps1:141;Tools/regression/verify-model-render-wiring.ps1:26;Tools/regression/verify-model-render-wiring.ps1:69
assets.identity	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-identity.ps1:4;Tools/regression/verify-asset-identity.ps1:100;Tools/regression/verify-asset-identity.ps1:113
assets.modelbench	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-cutover-budget.ps1:8;Tools/regression/verify-model-cutover-budget.ps1:129;Tools/regression/verify-model-cutover-budget.ps1:130;Tools/regression/verify-model-cutover-budget.ps1:158;Tools/regression/verify-model-cutover-budget.ps1:159;Tools/regression/verify-model-cutover-budget.ps1:203
assets.modeldiag	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-editor-drop-animation.ps1:64;Tools/regression/verify-editor-drop-animation.ps1:66;Tools/regression/verify-experiment-cooked-catalog.ps1:12;Tools/regression/verify-experiment-cooked-catalog.ps1:155;Tools/regression/verify-experiment-cooked-catalog.ps1:172;Tools/regression/verify-experiment-cooked-catalog.ps1:181;Tools/regression/verify-experiment-cooked-catalog.ps1:232;Tools/regression/verify-experiment-cooked-catalog.ps1:252;Tools/regression/verify-mbc-cutover-freeze.ps1:226;Tools/regression/verify-model-scene-consumption.ps1:132;Tools/regression/verify-model-scene-consumption.ps1:141;Tools/regression/verify-model-scene-consumption.ps1:163;Tools/regression/verify-model-scene-consumption.ps1:173;Tools/regression/verify-model-typed-consumers.ps1:12;Tools/regression/verify-model-typed-consumers.ps1:74;Tools/regression/verify-model-typed-consumers.ps1:102;Tools/regression/verify-model-typed-consumers.ps1:105;Tools/regression/verify-skin-pose-visual.ps1:19;Tools/regression/verify-skin-pose-visual.ps1:86;scripts/editor_drop_animation.txt:19;scripts/skin_pose_visual.txt:40
assets.modelrender	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-render-wiring.ps1:25;Tools/regression/verify-model-render-wiring.ps1:66
assets.scenemodel	-	engine_service	commandlet	corpus verification and generation reload fixture; process-scoped only	Tools/regression/verify-model-scene-consumption.ps1:15;Tools/regression/verify-model-scene-consumption.ps1:17;Tools/regression/verify-model-scene-consumption.ps1:23;Tools/regression/verify-model-scene-consumption.ps1:88;Tools/regression/verify-model-scene-consumption.ps1:89;Tools/regression/verify-model-scene-consumption.ps1:133;Tools/regression/verify-model-scene-consumption.ps1:164;Tools/regression/verify-model-scene-consumption.ps1:165
assets.sidecar	-	engine_service	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-sidecar-v2.ps1:3;Tools/regression/verify-asset-sidecar-v2.ps1:44;Tools/regression/verify-asset-sidecar-v2.ps1:59
assets.unload	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	no literal consumer found
blackboard.authoring.probe	-	raw_fixture	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-authoring-ownership.ps1:513;Tools/regression/verify-asset-authoring-ownership.ps1:534;Tools/regression/verify-asset-authoring-ownership.ps1:545
bt.status	bt.reset	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/bt_smoke.txt:25;Tools/regression/bt_smoke.txt:62;Tools/regression/bt_smoke.txt:69;Tools/regression/bt_smoke.txt:74;Tools/regression/bt_smoke.txt:77;Tools/regression/bt_smoke.txt:81;Tools/regression/verify-bt-smoke.ps1:92;Tools/regression/verify-bt-smoke.ps1:99;Tools/regression/verify-bt-smoke.ps1:184
camera.editor	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	no literal consumer found
cli.drain.budget	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-cli-drain.ps1:239;Tools/regression/verify-cli-drain.ps1:255;Tools/regression/verify-cli-drain.ps1:262;Tools/regression/verify-cli-drain.ps1:320
cli.echo.args	-	engine_service	api	Developer argument transport diagnostic; no engine fixture	Tools/regression/lc0-measure.ps1:146;Tools/regression/lc0-measure.ps1:165;Tools/regression/lc0-measure.ps1:187;Tools/regression/lc0-measure.ps1:205;Tools/regression/lc0-measure.ps1:225;Tools/regression/lc0-static-inventory.ps1:84;Tools/regression/lc0-static-inventory.ps1:86;Tools/regression/verify-cli-exit-spine.ps1:146;Tools/regression/verify-cli-exit-spine.ps1:149;Tools/regression/verify-cli-exit-spine.ps1:157;Tools/regression/verify-cli-invocation.ps1:103;Tools/regression/verify-cli-invocation.ps1:104;Tools/regression/verify-cli-invocation.ps1:119;Tools/regression/verify-cli-invocation.ps1:136;Tools/regression/verify-cli-invocation.ps1:137;Tools/regression/verify-cli-invocation.ps1:161;Tools/regression/verify-cli-parser-golden.ps1:25;Tools/regression/verify-cli-parser-golden.ps1:39;Tools/regression/verify-cli-parser-golden.ps1:68;Tools/regression/verify-cli-parser-golden.ps1:69;Tools/regression/verify-cli-parser-golden.ps1:84;Tools/regression/verify-cli-parser-golden.ps1:93;Tools/regression/verify-cli-service.ps1:254
cli.probe.timing	-	probe	remove	Closed LC0 latency baseline harness superseded by HTTP request timing	Tools/regression/lc0-measure.ps1:154;Tools/regression/lc0-measure.ps1:238;Tools/regression/lc0-measure.ps1:239;Tools/regression/lc0-measure.ps1:240
collisionmatrix.authoring.probe	-	raw_fixture	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-authoring-ownership.ps1:564;Tools/regression/verify-asset-authoring-ownership.ps1:580
commands.describe	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-cli-service.ps1:198;Tools/regression/verify-cli-service.ps1:203
