# lc3-commands v1
# commands	99
# names	106
# problems	0
canonical	aliases	cost	roles	class	liveness	user_code	result_bearing	usage	summary
ai.status	-	immediate	editor	engine_service	live	no	yes	[오브젝트]	AI 레지스트리 등록 수를 낸다(오브젝트를 주면 그 하나)
animator.param	-	frames	editor	editor_operation	live	no	yes	<오브젝트> <파라미터> <bool|float|int|trigger>	Animator 파라미터를 저작한다
animator.status	-	frames	editor	engine_service	live	no	yes	-	Read live Animator palettes and product publication metrics
assets.modeldiag	-	immediate	editor	engine_service	live	no	yes	-	모델 소비 계수를 읽는다(상태를 바꾸지 않는다)
assets.unload	-	frames	editor	engine_service	live	no	yes	-	사용하지 않는 에셋 캐시 정리
bt.status	bt.reset	immediate	editor	engine_service	live	no	yes	-	행동 트리 지표(트리 수·틱 누계·프레임당 경계 통과)
camera.editor	-	frames	editor	engine_service	live	no	yes	match | follow [on|off] | status	에디터 카메라를 게임 카메라와 같은 시점으로
cli.drain.budget	-	immediate	editor	engine_service	live	no	yes	[<시간ms> <개수>]	서비스 큐 드레인 예산을 읽거나 바꾼다(LC5 · SLO 게이트의 변이용)
cli.echo.args	-	immediate	editor	engine_service	live	no	yes	<인자>	tokenizer가 만든 토큰을 길이와 함께 되비춘다(LC0 parser golden)
commands.describe	-	immediate	editor	engine_service	live	no	yes	<이름>	명령 하나의 descriptor 상세를 낸다
commands.list	-	immediate	editor	engine_service	live	no	yes	[경로]	등록 명령 snapshot 을 TSV 로 낸다(소스 스크래핑 대체)
commands.selftest	-	immediate	editor	engine_service	live	no	yes	-	registry 무결성을 판정한다(이름 중복·요약 누락·descriptor 부재)
component.add	-	frames	editor	editor_operation	live	no	yes	<오브젝트 이름> <컴포넌트 타입>	오브젝트에 컴포넌트를 붙인다
component.list	-	immediate	editor	engine_service	live	no	yes	[filter]	등록된 컴포넌트 타입을 로그에 남긴다
component.remove	-	frames	editor	editor_operation	live	no	yes	<target> <component>	Remove an optional component with Undo
crash.status	-	immediate	editor	engine_service	live	no	yes	-	크래시 덤프 기록자 등록 여부와 덤프 경로를 확인한다
dump.list	-	immediate	editor	engine_service	live	no	yes	[limit]	크래시 덤프 목록을 최대 limit개 조회한다
dump.show	-	immediate	editor	engine_service	live	no	yes	[limit]	덤프 목록과 최신 덤프 요약을 조회한다
dx12.live	-	immediate	editor	engine_service	live	no	yes	on|status	EnhancedRenderer 메인 런타임 상태
game.pak	-	long	editor	engine_service	live	no	yes	-	Release Player 패키지를 빌드·검증 후 Build/Staging에 게시한다
gc.collect	-	frames	editor	engine_service	live	no	yes	-	관리 힙 확정 수집(씬 전환이 자동으로 부르는 그 경로)
gc.stats	gc.delta	immediate	editor	engine_service	live	no	yes	-	관리 힙 지표를 낸다(gc.delta는 직전 대비 증감)
gpu.baseline	-	frames	editor	engine_service	live	no	yes	-	현재 상태를 기준선으로 삼는다
gpu.census	gpu.delta	frames	editor	engine_service	live	no	yes	[라벨]	VRAM과 엔진 에셋 수를 로그에 기록
help	-	immediate	both	engine_service	live	no	yes	[명령]	명령 목록 또는 명령 하나의 상세를 낸다
lifecycle.dump	-	immediate	editor	engine_service	live	no	yes	[파일]	기록을 TSV로 쓴다(기록 0건이면 실패로 끝난다)
lifecycle.registry	-	frames	editor	engine_service	live	no	yes	-	생명주기 등록 수와 대기 중인 초기화 수를 조회한다
lifecycle.trace	-	frames	editor	engine_service	live	no	yes	on [틱프레임]|off|clear|status	생명주기 호출 순서를 받아 적는다
light.proxy	-	frames	editor	engine_service	live	no	yes	-	Read live light proxy values and publication counters
log.flush	-	immediate	editor	engine_service	live	no	yes	-	로그를 디스크에 즉시 반영
mem.delta	-	immediate	editor	engine_service	live	no	yes	[라벨]	기준선 대비 CRT 블록·바이트 증감(기준선이 없으면 지금을 기준선으로 삼는다)
mem.hook	-	immediate	editor	engine_service	live	no	yes	on|stack|off|top|status	CRT 할당 훅 — 호출 계수, stack 은 귀속까지(디버그 CRT 전용)
mem.reset	-	immediate	editor	engine_service	live	no	yes	-	churn 누계와 기준선을 0으로 — 구간 측정용
mem.stats	-	immediate	editor	engine_service	live	no	yes	[라벨]	CRT 현재 live 블록·바이트를 찍는다(누계는 mem.hook 이 따로 센다)
model.load	-	long	editor	engine_service	live	no	yes	<경로>	모델을 에셋으로 임포트한다(fbx/gltf/glb/obj)
model.loadcached	-	long	editor	engine_service	live	no	yes	<모델 경로>	에디터 드롭 경로(LoadCachedModelShared)로 모델을 연다
model.place	-	frames	editor	editor_operation	live	no	yes	<이름>	임포트한 모델을 활성 씬에 배치한다
object.create	-	frames	editor	editor_operation	live	no	yes	<이름> [타입]	빈 오브젝트를 만든다(Empty/Light/Camera/Mesh)
object.delete	-	frames	editor	editor_operation	live	no	yes	<target>	Delete an object subtree with Undo
object.describe	-	immediate	editor	engine_service	live	no	yes	<name-or-id>	Read object identity and name
object.duplicate	-	frames	editor	editor_operation	live	no	yes	<오브젝트> [새 이름]	오브젝트를 복제한다(에디터 Ctrl+D와 같은 원시 함수)
object.parent	-	frames	editor	editor_operation	live	no	yes	<자식> <부모 | ->	오브젝트의 부모를 바꾼다(-는 씬 루트로 올린다)
object.properties	-	immediate	editor	engine_service	live	no	yes	<target> <component>	Read reflected component fields and values
